_id	model.x	model.y	BNCweighting	FirstOrderWeighting	ContextWindow	SecondOrderWindow	SecondOrderScore	stress
air.n.10-10.weightsBNC-7-7pospmi.4-4.pospmi	0.971899655455633	3.77132493990162	BNC-7-7pospmi	BNC	L10-R10	L4-R4	pospmi	23.05
air.n.10-10.weightsBNC-7-7pospmi.4-4.tScore	0.366661751171064	3.41792339566249	BNC-7-7pospmi	BNC	L10-R10	L4-R4	tScore	25.05
air.n.10-10.weightsBNC-7-7pospmi.7-7.diceM	2.68175936392762	4.36987198648936	BNC-7-7pospmi	BNC	L10-R10	L7-R7	diceM	20.6
air.n.10-10.weightsBNC-7-7pospmi.7-7.LLR	-0.921381983716773	2.46689211049072	BNC-7-7pospmi	BNC	L10-R10	L7-R7	LLR	25.71
air.n.10-10.weightsBNC-7-7pospmi.7-7.pospmi	2.09133954611028	4.22800938889984	BNC-7-7pospmi	BNC	L10-R10	L7-R7	pospmi	23.22
air.n.10-10.weightsBNC-7-7pospmi.7-7.tScore	0.595063622559179	3.09580193077052	BNC-7-7pospmi	BNC	L10-R10	L7-R7	tScore	24.14
air.n.20-20.weightsBNC-2-2pospmi.10-10.diceM	6.02189166871837	1.91650427395747	BNC-2-2pospmi	BNC	L20-R20	L10-R10	diceM	22.2
air.n.20-20.weightsBNC-2-2pospmi.10-10.LLR	1.68437861640405	-1.08279052825634	BNC-2-2pospmi	BNC	L20-R20	L10-R10	LLR	25.85
air.n.20-20.weightsBNC-2-2pospmi.10-10.pospmi	1.58774912057722	1.57179996793031	BNC-2-2pospmi	BNC	L20-R20	L10-R10	pospmi	23.65
air.n.20-20.weightsBNC-2-2pospmi.10-10.tScore	1.00409483714037	1.11085108218377	BNC-2-2pospmi	BNC	L20-R20	L10-R10	tScore	24.11
air.n.20-20.weightsBNC-2-2pospmi.2-2.diceM	3.41141999324466	2.65292436031258	BNC-2-2pospmi	BNC	L20-R20	L2-R2	diceM	26.54
air.n.20-20.weightsBNC-2-2pospmi.2-2.LLR	-2.53295589851998	3.2617948367649	BNC-2-2pospmi	BNC	L20-R20	L2-R2	LLR	29.43
air.n.20-20.weightsBNC-2-2pospmi.2-2.pospmi	3.31645521363772	1.21235578335273	BNC-2-2pospmi	BNC	L20-R20	L2-R2	pospmi	26.36
air.n.20-20.weightsBNC-2-2pospmi.2-2.tScore	0.387216047233011	1.9188295154596	BNC-2-2pospmi	BNC	L20-R20	L2-R2	tScore	28.21
air.n.20-20.weightsBNC-2-2pospmi.4-4.diceM	3.12932109745303	-0.868854321896274	BNC-2-2pospmi	BNC	L20-R20	L4-R4	diceM	24.87
air.n.20-20.weightsBNC-2-2pospmi.4-4.LLR	1.14909494045327	-1.33810935255579	BNC-2-2pospmi	BNC	L20-R20	L4-R4	LLR	27.61
air.n.20-20.weightsBNC-2-2pospmi.4-4.pospmi	2.17817395129055	1.19025988729714	BNC-2-2pospmi	BNC	L20-R20	L4-R4	pospmi	25
air.n.20-20.weightsBNC-2-2pospmi.4-4.tScore	0.882772176596303	0.874028987509443	BNC-2-2pospmi	BNC	L20-R20	L4-R4	tScore	26.11
air.n.20-20.weightsBNC-2-2pospmi.7-7.diceM	3.87347944910827	-4.58021778688082	BNC-2-2pospmi	BNC	L20-R20	L7-R7	diceM	23.49
air.n.20-20.weightsBNC-2-2pospmi.7-7.LLR	0.0372137586765126	1.05357861359655	BNC-2-2pospmi	BNC	L20-R20	L7-R7	LLR	26.3
air.n.20-20.weightsBNC-2-2pospmi.7-7.pospmi	2.61816333502093	1.63466449961435	BNC-2-2pospmi	BNC	L20-R20	L7-R7	pospmi	23.78
air.n.20-20.weightsBNC-2-2pospmi.7-7.tScore	1.24245397520073	0.897434740132339	BNC-2-2pospmi	BNC	L20-R20	L7-R7	tScore	24.66
air.n.20-20.weightsBNC-4-4pospmi.10-10.diceM	3.96840275706653	2.46845427558414	BNC-4-4pospmi	BNC	L20-R20	L10-R10	diceM	17.67
air.n.20-20.weightsBNC-4-4pospmi.10-10.LLR	-0.0705780055540437	0.445609696755562	BNC-4-4pospmi	BNC	L20-R20	L10-R10	LLR	25.26
air.n.20-20.weightsBNC-4-4pospmi.10-10.pospmi	1.79981260202512	2.32624800253157	BNC-4-4pospmi	BNC	L20-R20	L10-R10	pospmi	22.6
air.n.20-20.weightsBNC-4-4pospmi.10-10.tScore	0.323631075968166	0.477281243314037	BNC-4-4pospmi	BNC	L20-R20	L10-R10	tScore	23.95
air.n.20-20.weightsBNC-4-4pospmi.2-2.diceM	4.14051096671255	1.5644810227718	BNC-4-4pospmi	BNC	L20-R20	L2-R2	diceM	25.34
air.n.20-20.weightsBNC-4-4pospmi.2-2.LLR	-4.15508632561906	2.87663488605684	BNC-4-4pospmi	BNC	L20-R20	L2-R2	LLR	30.21
air.n.20-20.weightsBNC-4-4pospmi.2-2.pospmi	3.67451330426092	2.23980476197009	BNC-4-4pospmi	BNC	L20-R20	L2-R2	pospmi	25.07
air.n.20-20.weightsBNC-4-4pospmi.2-2.tScore	0.68912243140096	0.870445009081548	BNC-4-4pospmi	BNC	L20-R20	L2-R2	tScore	27.08
air.n.20-20.weightsBNC-4-4pospmi.4-4.diceM	3.62907668385889	1.30822010241051	BNC-4-4pospmi	BNC	L20-R20	L4-R4	diceM	22.12
air.n.20-20.weightsBNC-4-4pospmi.4-4.LLR	-0.971296841362584	0.824224768101111	BNC-4-4pospmi	BNC	L20-R20	L4-R4	LLR	27.45
air.n.20-20.weightsBNC-4-4pospmi.4-4.pospmi	1.72701533992747	1.14407239312447	BNC-4-4pospmi	BNC	L20-R20	L4-R4	pospmi	24.09
air.n.20-20.weightsBNC-4-4pospmi.4-4.tScore	0.72246244537591	0.896048947615174	BNC-4-4pospmi	BNC	L20-R20	L4-R4	tScore	25.12
air.n.20-20.weightsBNC-4-4pospmi.7-7.diceM	4.71299070726439	2.41556119720463	BNC-4-4pospmi	BNC	L20-R20	L7-R7	diceM	20.4
air.n.20-20.weightsBNC-4-4pospmi.7-7.LLR	-0.854886629177912	0.664452015238746	BNC-4-4pospmi	BNC	L20-R20	L7-R7	LLR	25.52
air.n.20-20.weightsBNC-4-4pospmi.7-7.pospmi	2.0807506091896	1.61377629730702	BNC-4-4pospmi	BNC	L20-R20	L7-R7	pospmi	23
air.n.20-20.weightsBNC-4-4pospmi.7-7.tScore	0.510027758868386	1.04734530510742	BNC-4-4pospmi	BNC	L20-R20	L7-R7	tScore	23.21
air.n.20-20.weightsBNC-7-7pospmi.10-10.diceM	5.06382257593918	3.38309946272676	BNC-7-7pospmi	BNC	L20-R20	L10-R10	diceM	15.74
air.n.20-20.weightsBNC-7-7pospmi.10-10.LLR	-1.06208230181797	0.714915923401324	BNC-7-7pospmi	BNC	L20-R20	L10-R10	LLR	24.52
air.n.20-20.weightsBNC-7-7pospmi.10-10.pospmi	1.90489471922381	2.26841684128655	BNC-7-7pospmi	BNC	L20-R20	L10-R10	pospmi	22.26
air.n.20-20.weightsBNC-7-7pospmi.10-10.tScore	0.691253200395898	0.618329313399718	BNC-7-7pospmi	BNC	L20-R20	L10-R10	tScore	22.53
air.n.20-20.weightsBNC-7-7pospmi.2-2.diceM	4.51662909659202	2.21345147225907	BNC-7-7pospmi	BNC	L20-R20	L2-R2	diceM	25.74
air.n.20-20.weightsBNC-7-7pospmi.2-2.LLR	-3.50252459385945	2.20325190210088	BNC-7-7pospmi	BNC	L20-R20	L2-R2	LLR	30.46
air.n.20-20.weightsBNC-7-7pospmi.2-2.pospmi	2.34369053651695	2.39828811990196	BNC-7-7pospmi	BNC	L20-R20	L2-R2	pospmi	24.7
air.n.20-20.weightsBNC-7-7pospmi.2-2.tScore	0.969793939099775	1.82678483497183	BNC-7-7pospmi	BNC	L20-R20	L2-R2	tScore	27.4
air.n.20-20.weightsBNC-7-7pospmi.4-4.diceM	2.89556288210764	1.65642897429966	BNC-7-7pospmi	BNC	L20-R20	L4-R4	diceM	21.16
air.n.20-20.weightsBNC-7-7pospmi.4-4.LLR	-1.5521472456489	0.997790689256378	BNC-7-7pospmi	BNC	L20-R20	L4-R4	LLR	27.3
air.n.20-20.weightsBNC-7-7pospmi.4-4.pospmi	3.29549866716958	1.8913379178152	BNC-7-7pospmi	BNC	L20-R20	L4-R4	pospmi	23.32
air.n.20-20.weightsBNC-7-7pospmi.4-4.tScore	0.736051564116661	1.59880288604167	BNC-7-7pospmi	BNC	L20-R20	L4-R4	tScore	24.81
air.n.20-20.weightsBNC-7-7pospmi.7-7.diceM	4.20981439609701	2.44340655308151	BNC-7-7pospmi	BNC	L20-R20	L7-R7	diceM	19.32
air.n.20-20.weightsBNC-7-7pospmi.7-7.LLR	-1.58706087354516	2.15964352964843	BNC-7-7pospmi	BNC	L20-R20	L7-R7	LLR	25.49
air.n.20-20.weightsBNC-7-7pospmi.7-7.pospmi	2.6300027781954	1.97383849023237	BNC-7-7pospmi	BNC	L20-R20	L7-R7	pospmi	22.42
air.n.20-20.weightsBNC-7-7pospmi.7-7.tScore	1.47861465578402	0.633358083278102	BNC-7-7pospmi	BNC	L20-R20	L7-R7	tScore	23.27
air.n.40-40.weightsBNC-2-2pospmi.10-10.diceM	6.79582811855328	-2.04835252139453	BNC-2-2pospmi	BNC	L40-R40	L10-R10	diceM	21.17
air.n.40-40.weightsBNC-2-2pospmi.10-10.LLR	3.58865455707631	-2.33226747540367	BNC-2-2pospmi	BNC	L40-R40	L10-R10	LLR	25.4
air.n.40-40.weightsBNC-2-2pospmi.10-10.pospmi	4.03376404337038	0.162432618861578	BNC-2-2pospmi	BNC	L40-R40	L10-R10	pospmi	21.69
air.n.40-40.weightsBNC-2-2pospmi.10-10.tScore	2.94542207483255	-1.72500323233245	BNC-2-2pospmi	BNC	L40-R40	L10-R10	tScore	23.79
air.n.40-40.weightsBNC-2-2pospmi.2-2.diceM	6.03467957471149	0.455782236482861	BNC-2-2pospmi	BNC	L40-R40	L2-R2	diceM	25.16
air.n.40-40.weightsBNC-2-2pospmi.2-2.LLR	5.78359296226823	-2.88322550005625	BNC-2-2pospmi	BNC	L40-R40	L2-R2	LLR	29.29
air.n.40-40.weightsBNC-2-2pospmi.2-2.pospmi	4.50473208458765	-0.353114263444298	BNC-2-2pospmi	BNC	L40-R40	L2-R2	pospmi	24.14
air.n.40-40.weightsBNC-2-2pospmi.2-2.tScore	3.92442919283246	-0.933582716107868	BNC-2-2pospmi	BNC	L40-R40	L2-R2	tScore	26.73
air.n.40-40.weightsBNC-2-2pospmi.4-4.diceM	4.91923658836955	-0.65937190824002	BNC-2-2pospmi	BNC	L40-R40	L4-R4	diceM	23.91
air.n.40-40.weightsBNC-2-2pospmi.4-4.LLR	6.72702885598552	-5.73580162326022	BNC-2-2pospmi	BNC	L40-R40	L4-R4	LLR	28.57
air.n.40-40.weightsBNC-2-2pospmi.4-4.pospmi	4.45333732882773	-0.122117527623672	BNC-2-2pospmi	BNC	L40-R40	L4-R4	pospmi	23.59
air.n.40-40.weightsBNC-2-2pospmi.4-4.tScore	3.25551999218097	-0.795250575917969	BNC-2-2pospmi	BNC	L40-R40	L4-R4	tScore	25.46
air.n.40-40.weightsBNC-2-2pospmi.7-7.diceM	3.68204467659649	-1.68709248599829	BNC-2-2pospmi	BNC	L40-R40	L7-R7	diceM	21.65
air.n.40-40.weightsBNC-2-2pospmi.7-7.LLR	-1.73732934166287	2.87402248676259	BNC-2-2pospmi	BNC	L40-R40	L7-R7	LLR	27.05
air.n.40-40.weightsBNC-2-2pospmi.7-7.pospmi	4.5503113895089	0.234280918541427	BNC-2-2pospmi	BNC	L40-R40	L7-R7	pospmi	22.34
air.n.40-40.weightsBNC-2-2pospmi.7-7.tScore	3.16019246367349	-1.62593487868923	BNC-2-2pospmi	BNC	L40-R40	L7-R7	tScore	24.7
air.n.40-40.weightsBNC-4-4pospmi.10-10.diceM	5.58877325894424	1.73723228293405	BNC-4-4pospmi	BNC	L40-R40	L10-R10	diceM	18.32
air.n.40-40.weightsBNC-4-4pospmi.10-10.LLR	2.23419569265089	-1.75378266609228	BNC-4-4pospmi	BNC	L40-R40	L10-R10	LLR	25.05
air.n.40-40.weightsBNC-4-4pospmi.10-10.pospmi	2.81497751832298	0.65973731462348	BNC-4-4pospmi	BNC	L40-R40	L10-R10	pospmi	21.45
air.n.40-40.weightsBNC-4-4pospmi.10-10.tScore	1.96408447410102	-0.272689499837706	BNC-4-4pospmi	BNC	L40-R40	L10-R10	tScore	22.3
air.n.40-40.weightsBNC-4-4pospmi.2-2.diceM	4.79142827364905	0.529078633507889	BNC-4-4pospmi	BNC	L40-R40	L2-R2	diceM	24.78
air.n.40-40.weightsBNC-4-4pospmi.2-2.LLR	4.71904914382703	-3.87860425337977	BNC-4-4pospmi	BNC	L40-R40	L2-R2	LLR	29.62
air.n.40-40.weightsBNC-4-4pospmi.2-2.pospmi	3.74848634414675	0.573801854166596	BNC-4-4pospmi	BNC	L40-R40	L2-R2	pospmi	24
air.n.40-40.weightsBNC-4-4pospmi.2-2.tScore	4.91365629333658	0.441301195653318	BNC-4-4pospmi	BNC	L40-R40	L2-R2	tScore	27.18
air.n.40-40.weightsBNC-4-4pospmi.4-4.diceM	3.57419467837648	-0.376699677996579	BNC-4-4pospmi	BNC	L40-R40	L4-R4	diceM	21.71
air.n.40-40.weightsBNC-4-4pospmi.4-4.LLR	2.70256910033541	-2.32529085477936	BNC-4-4pospmi	BNC	L40-R40	L4-R4	LLR	27.22
air.n.40-40.weightsBNC-4-4pospmi.4-4.pospmi	3.24082040965806	0.552857607611546	BNC-4-4pospmi	BNC	L40-R40	L4-R4	pospmi	21.81
air.n.40-40.weightsBNC-4-4pospmi.4-4.tScore	1.75273652374462	-0.513367561882044	BNC-4-4pospmi	BNC	L40-R40	L4-R4	tScore	23.72
air.n.40-40.weightsBNC-4-4pospmi.7-7.diceM	4.9090513571784	1.10687812506696	BNC-4-4pospmi	BNC	L40-R40	L7-R7	diceM	20.13
air.n.40-40.weightsBNC-4-4pospmi.7-7.LLR	2.6480883329416	-1.23374188719531	BNC-4-4pospmi	BNC	L40-R40	L7-R7	LLR	25.83
air.n.40-40.weightsBNC-4-4pospmi.7-7.pospmi	2.86658900303644	0.523598739799528	BNC-4-4pospmi	BNC	L40-R40	L7-R7	pospmi	21.75
