_id	model.x	model.y	weighted	first-order weighting	context window size	second-order window size	second-order scheme	MDS stress	Same Class Path ratio
air.n.10-10.weightsBNC-2-2pospmi.4-4.pospmi	1.620798248	4.783379346	yes	BNC-2-2pospmi	L10-R10	L4-R4	pospmi	23.69	0.239742205
air.n.10-10.weightsBNC-2-2pospmi.4-4.tScore	0.305760848	4.820786085	yes	BNC-2-2pospmi	L10-R10	L4-R4	tScore	27.07	0.344960461
air.n.10-10.weightsBNC-2-2pospmi.7-7.diceM	2.818789844	6.056262423	yes	BNC-2-2pospmi	L10-R10	L7-R7	diceM	22.89	0.303089564
air.n.10-10.weightsBNC-2-2pospmi.7-7.LLR	-0.912916968	3.81714711	yes	BNC-2-2pospmi	L10-R10	L7-R7	LLR	28.38	0.367123705
air.n.10-10.weightsBNC-2-2pospmi.7-7.pospmi	1.263616979	5.055837513	yes	BNC-2-2pospmi	L10-R10	L7-R7	pospmi	23.61	0.237889739
air.n.10-10.weightsBNC-2-2pospmi.7-7.tScore	0.168847931	3.062949437	yes	BNC-2-2pospmi	L10-R10	L7-R7	tScore	25.82	0.333721767
air.n.10-10.weightsBNC-4-4pospmi.10-10.diceM	5.52362328	4.734665019	yes	BNC-4-4pospmi	L10-R10	L10-R10	diceM	19.82	0.373975834
air.n.10-10.weightsBNC-4-4pospmi.10-10.LLR	-0.31476759	3.47338329	yes	BNC-4-4pospmi	L10-R10	L10-R10	LLR	26.27	0.357098396
air.n.10-10.weightsBNC-4-4pospmi.10-10.pospmi	1.97540092	3.487704219	yes	BNC-4-4pospmi	L10-R10	L10-R10	pospmi	22.09	0.313921977
air.n.10-10.weightsBNC-4-4pospmi.10-10.tScore	0.390915569	3.329934855	yes	BNC-4-4pospmi	L10-R10	L10-R10	tScore	24.12	0.274709525
air.n.10-10.weightsBNC-4-4pospmi.2-2.diceM	2.797751897	5.153745305	yes	BNC-4-4pospmi	L10-R10	L2-R2	diceM	25.61	0.382505484
air.n.10-10.weightsBNC-4-4pospmi.2-2.LLR	-0.821334306	5.307589584	yes	BNC-4-4pospmi	L10-R10	L2-R2	LLR	31.15	0.371485627
air.n.10-10.weightsBNC-4-4pospmi.2-2.pospmi	2.102942956	3.641695225	yes	BNC-4-4pospmi	L10-R10	L2-R2	pospmi	24.26	0.33396695
air.n.10-10.weightsBNC-4-4pospmi.2-2.tScore	0.078209372	3.858928852	yes	BNC-4-4pospmi	L10-R10	L2-R2	tScore	28.92	0.325268557
air.n.10-10.weightsBNC-4-4pospmi.4-4.diceM	2.839621641	4.928341193	yes	BNC-4-4pospmi	L10-R10	L4-R4	diceM	22.86	0.351144869
air.n.10-10.weightsBNC-4-4pospmi.4-4.LLR	-0.257404344	5.156711915	yes	BNC-4-4pospmi	L10-R10	L4-R4	LLR	29.44	0.341783478
air.n.10-10.weightsBNC-4-4pospmi.4-4.pospmi	1.856956181	4.245354238	yes	BNC-4-4pospmi	L10-R10	L4-R4	pospmi	22.73	0.312361994
air.n.10-10.weightsBNC-4-4pospmi.4-4.tScore	0.816341527	3.55574903	yes	BNC-4-4pospmi	L10-R10	L4-R4	tScore	25.86	0.298762309
air.n.10-10.weightsBNC-4-4pospmi.7-7.diceM	3.959171928	4.898274185	yes	BNC-4-4pospmi	L10-R10	L7-R7	diceM	20.3	0.383611973
air.n.10-10.weightsBNC-4-4pospmi.7-7.LLR	-0.252038416	4.86296419	yes	BNC-4-4pospmi	L10-R10	L7-R7	LLR	27.43	0.348350017
air.n.10-10.weightsBNC-4-4pospmi.7-7.pospmi	1.40632941	3.364265429	yes	BNC-4-4pospmi	L10-R10	L7-R7	pospmi	21.16	0.312365189
air.n.10-10.weightsBNC-4-4pospmi.7-7.tScore	0.638435475	4.334661841	yes	BNC-4-4pospmi	L10-R10	L7-R7	tScore	25.46	0.261048448
air.n.10-10.weightsBNC-7-7pospmi.10-10.diceM	3.274150264	4.840101944	yes	BNC-7-7pospmi	L10-R10	L10-R10	diceM	19.96	0.223623057
air.n.10-10.weightsBNC-7-7pospmi.10-10.LLR	-0.66388038	2.157939959	yes	BNC-7-7pospmi	L10-R10	L10-R10	LLR	25.02	0.458911859
air.n.10-10.weightsBNC-7-7pospmi.10-10.pospmi	1.430961902	3.479010576	yes	BNC-7-7pospmi	L10-R10	L10-R10	pospmi	21.87	0.214172106
air.n.10-10.weightsBNC-7-7pospmi.10-10.tScore	0.200577762	2.921780218	yes	BNC-7-7pospmi	L10-R10	L10-R10	tScore	23.63	0.437586035
air.n.10-10.weightsBNC-7-7pospmi.2-2.diceM	1.700967002	4.905480729	yes	BNC-7-7pospmi	L10-R10	L2-R2	diceM	25.67	0.26920545
air.n.10-10.weightsBNC-7-7pospmi.2-2.LLR	-2.813124894	4.195715935	yes	BNC-7-7pospmi	L10-R10	L2-R2	LLR	30.7	0.422647469
air.n.10-10.weightsBNC-7-7pospmi.2-2.pospmi	0.986771982	5.103332348	yes	BNC-7-7pospmi	L10-R10	L2-R2	pospmi	24.77	0.230323244
air.n.10-10.weightsBNC-7-7pospmi.2-2.tScore	-0.292561435	3.26182204	yes	BNC-7-7pospmi	L10-R10	L2-R2	tScore	27.92	0.378673313
air.n.10-10.weightsBNC-7-7pospmi.4-4.diceM	0.394034812	3.916028931	yes	BNC-7-7pospmi	L10-R10	L4-R4	diceM	23.14	0.226276506
air.n.10-10.weightsBNC-7-7pospmi.4-4.LLR	-2.354499808	2.32334243	yes	BNC-7-7pospmi	L10-R10	L4-R4	LLR	28.51	0.47828107
